# Time	Temperature [K]	Pressure [Pa]
0.0531	1012.98	1.36789e+06
0.0532	1013.2	1.36789e+06
0.0533	1013.42	1.36789e+06
0.0534	1013.66	1.36789e+06
0.0535	1013.9	1.36789e+06
0.0536	1014.14	1.36789e+06
0.0537	1014.4	1.36789e+06
0.0538	1014.66	1.36789e+06
0.0539	1014.93	1.36789e+06
0.054	1015.21	1.36789e+06
0.0541	1015.5	1.36789e+06
0.0542	1015.8	1.36789e+06
0.0543	1016.11	1.36789e+06
0.0544	1016.42	1.36789e+06
0.0545	1016.75	1.36789e+06
0.0546	1017.09	1.36789e+06
0.0547	1017.45	1.36789e+06
0.0548	1017.81	1.36789e+06
0.0549	1018.19	1.36789e+06
0.055	1018.59	1.36789e+06
0.0551	1019	1.36789e+06
0.0552	1019.42	1.36789e+06
0.0553	1019.86	1.36789e+06
0.0554	1020.33	1.36789e+06
0.0555	1020.81	1.36789e+06
0.0556	1021.31	1.36789e+06
0.0557	1021.83	1.36789e+06
0.0558	1022.38	1.36789e+06
0.0559	1022.95	1.36789e+06
0.056	1023.56	1.36789e+06
0.0561	1024.19	1.36789e+06
0.0562	1024.85	1.36789e+06
0.0563	1025.55	1.36789e+06
0.0564	1026.28	1.36789e+06
0.0565	1027.05	1.36789e+06
0.0566	1027.87	1.36789e+06
0.0567	1028.74	1.36789e+06
0.0568	1029.66	1.36789e+06
0.0569	1030.64	1.36789e+06
0.057	1031.68	1.36789e+06
0.0571	1032.79	1.36789e+06
0.0572	1033.98	1.36789e+06
0.0573	1035.26	1.36789e+06
0.0574	1036.64	1.36789e+06
0.0575	1038.13	1.36789e+06
0.0576	1039.74	1.36789e+06
0.0577	1041.5	1.36789e+06
0.0578	1043.42	1.36789e+06
0.0579	1045.53	1.36789e+06
0.058	1047.87	1.36789e+06
0.0581	1050.47	1.36789e+06
0.0582	1053.39	1.36789e+06
0.0583	1056.69	1.36789e+06
0.0584	1060.47	1.36789e+06
0.0585	1064.85	1.36789e+06
0.0586	1070.01	1.36789e+06
0.0587	1076.2	1.36789e+06
0.0588	1083.83	1.36789e+06
0.0589	1093.55	1.36789e+06
0.059	1106.56	1.36789e+06
0.0591	1125.41	1.36789e+06
0.05915	1138.6	1.36789e+06
0.0592444	1178.04	1.36789e+06
0.0592681	1193.24	1.36789e+06
0.0593138	1235.21	1.36789e+06
0.0593367	1265.92	1.36789e+06
0.0593481	1284.84	1.36789e+06
0.0593706	1332.27	1.36789e+06
0.0593818	1362.84	1.36789e+06
0.0594039	1449.95	1.36789e+06
0.0594094	1481.59	1.36789e+06
0.0594204	1577.46	1.36789e+06
0.0594231	1615.4	1.36789e+06
0.0594285	1756.12	1.36789e+06
0.0594292	1788.7	1.36789e+06
0.0594306	1893.19	1.36789e+06
0.0594307	1912.27	1.36789e+06
0.0594311	1959.67	1.36789e+06
0.0594313	1989.07	1.36789e+06
0.0594313	2005.6	1.36789e+06
0.0594315	2043.47	1.36789e+06
0.0594316	2064.73	1.36789e+06
0.0594318	2111.97	1.36789e+06
0.0594318	2136.33	1.36789e+06
0.059432	2180.81	1.36789e+06
0.0594321	2189.96	1.36789e+06
0.0594321	2206.19	1.36789e+06
0.0594322	2213.51	1.36789e+06
0.0594323	2227.41	1.36789e+06
0.0594323	2234.15	1.36789e+06
0.0594324	2247.48	1.36789e+06
0.0594325	2270.87	1.36789e+06
0.0594328	2306.31	1.36789e+06
0.0594332	2357.25	1.36789e+06
0.0594339	2426.74	1.36789e+06
0.0594353	2503.6	1.36789e+06
0.0594359	2528.49	1.36789e+06
0.0594373	2564.24	1.36789e+06
0.0594399	2606.13	1.36789e+06
0.0594452	2643.7	1.36789e+06
0.0594556	2666.59	1.36789e+06
0.0594766	2673.6	1.36789e+06
0.0595168	2673.51	1.36789e+06
0.0595974	2672.21	1.36789e+06
0.0596779	2671.02	1.36789e+06
0.0597584	2669.92	1.36789e+06
0.0598389	2668.91	1.36789e+06
0.0599195	2668	1.36789e+06
0.06	2667.17	1.36789e+06
0.0601	2666.26	1.36789e+06
